1,"Яркий, противоречивый аромат. Умеренный нарциссизм, женственность, страстное желание искушать и покорять. Легкость бергамота, апельсина и малины влечет нас дальше и обнажает обворожительную абсолютную женственность магнолии, черного перца и ветивера. Сандаловое дерево, амбра, мускус окутывают нас нежной чувственной дымкой.",/common/img/products/JSE100114_b.jpg
2,В состав набора входит парфюмерное мыло с ароматом My Burberry.,/common/img/uploaded/productImageFolder/EBUR45915LG.jpg
3,"Prada Candy - аромат соблазна и истинного удовольствия. Аромат, окутанный шармом. Prada Candy увлекает в необузданный мир человеческой натуры, маня розовыми и золотыми красками туда, где все доступно. Добро пожаловать в новый мир женственности ароматов от Prada.","Секрет настоящего наслаждения и привязанности к аромату заключается в его эксцентричности. Prada Candy изготовлен из высококачественных ингредиентов в чрезмерной пропорции. Prada Candy имеет поистине уникальное звучание, благодаря аккордам белого мускуса и благородного бензоина, в сочетании с карамельными нотами.","Мускус окутывает тонкой пеленой ноты бензоина и карамели, придавая аромату шелковистость, утончённость и элегантность.","Аромат от Prada предстаёт с неожиданной стороны, игриво совмещая современный синтетический аккорд карамели с натуральными нотами бензоина. Карамельный аккорд, по-настоящему аппетитный и озорной, вызывает «сладкую зависимость».","Мускус, бензоин, карамель.",Озорной. Уникальный. Соблазнительный.,Мускусно-цветочный.,/common/img/uploaded/product/big/2011/12/29/PRD051605_.jpg
4,"Гардения является символом верности и искренности, это прекрасный в своей чистоте, белоснежный цветок. Французская писательница Сидони-Габриэль Колетт описывала белый цвет как «белый с нежно-зеленым отливом, как лепестки трепетной гардении». Это прекрасный цветок, не скрывающий своей чувственности. Роскошная и теплая нота гардении пьянит и кружит голову. Легкое дуновение свежести появляется и исчезает так же внезапно, отступая перед этим величественным, пленительным цветком. Для написания этой чудесной «белой страницы» парфюмер вдохновлялся ароматом гардении - он приглушил ее фруктовую грань и отчетливый аромат белых цветов, но вывел на первый план лепестки. Обволакивающий и очень женственный аромат, цветочный и воздушный: Gardenia Petale.",/common/img/uploaded/productImageFolder/VCA010A01LG.jpg
5,"Роскошная и элегантная классика женских ароматов - L'Air du Temps от Nina Ricci. Он создан в подарок настоящим женщинам, ярким и застенчивым, чувственным и невинным. Воплощение кокетства и изящества, страсти и нежности, аромат создан на основе богатой композиции из фруктовых, цветочных, пряных и древесных нот. Оригинальный дизайн флакона сделает L'Air du Temps самым желанным подарком по поводу и без него.","Персик, нероли, гвоздика, роза, розовое дерево, гардения, фиалка, орхидея, розмарин, жасмин, иланг-иланг, ирис, амбра, сандал, мускус, дубовый мох, ветивер, кедр.","Роскошный, женственный, чувственный.",Цветочно-восточный.,/common/img/uploaded/product/big/2009/10/20/NNRB46120.jpg
6,"Новый аромат знаменитой линии DKNY воспевает весеннее пробуждение природы и яблоневый цвет в самом сердце мегаполиса. Ощущение нежности и женственности, радости и капризов! Новинка DKNY Be Delicious Fresh Blossom запечатлевает этот трепетный момент и сохраняет его тепло и энергию. Аромат невинен, свеж и игрив! Он воспевает цветение яблони – символа любви, юности и счастья. Он пленяет душу и сердце. Сделайте глоток света, вдохните его тепло. И вы не сможете устоять - ни сейчас, ни позже. Он нежный и прекрасный, как цветок яблони, и тонизирующий и свежий, как сама весна.","Грейпфрут, черная смородина, подрумяненные на солнце абрикосы, ландыш, розовые лепестки, жасмин, белая древесина и кожа.","Нежный, цветущий, свежий.",Цветущий цветочный.,/common/img/uploaded/product/big/2009/04/14/EST2JRJ01.jpg
7,"Женщина, живущая в согласии с собой и познавшая «радость непослушания», умеет жить полной жизнью. Яркой, насыщенной, магической. Она не придает значения условностям, решается на самые смелые поступки. Madly Kenzo Kiss’n Fly - искрящаяся туалетная вода, которая словно светится изнутри. Спонтанная и неповторимая.","Гранат, жасмин, мускус, груша, ландыш, фрезия, кедр, личи.","Оптимистичный, свободный, неповторимый.",Цветочно-фруктовый.,/common/img/uploaded/productImageFolder/KEN961705LG.jpg
8,"Ночной Токио – город огней и ритмов. И ED HARDY Love & Luck for Women ему под стать – яркий, динамичный и очаровывающий. Композиция аромата – роскошный коктейль из цитрусовых, фруктовых и ягодных нот, дополненных нежностью цветов вишни и лепестков жасмина, согретых пряной чувственностью розового перца, кедра, сандала и пачули. «Изюминка» аромата – нота саке. ED HARDY Love & Luck for Women – аромат соблазнительных и уверенных в себе женщин. Той, кто не боится бросить вызов судьбе, потому что всегда уверена в своей победе. Кто может справиться с ней? Разве что… ED HARDY Love & Luck for Men.","Апельсин королек, цветок вишни, саке, черная смородина, розовый перец, нектарин, лепестки жасмина, слива, мускус, кедр, сандал, пачули.","Динамичный, яркий, чувственный.",Яркий цветочный.,/common/img/uploaded/productImageFolder/EDHELVF02LG.jpg
9,Dolce Floral Drops – удивительной красоты свежий цветочный аромат.,"Вдохновленный композицией парфюмерной воды Dolce с ее отличительными нотами белых цветов и белым амариллисом – сердцем аромата. Новая туалетная вода Dolce Floral Drops сочетает эти ингредиенты с живыми, свежими и яркими нотами листьев апельсинового дерева, которые придают новому аромату самобытный характер и дарят свежесть с первого мгновения.","Кашмеран, мускус, цветок папайи, кувшинка, амариллис, нарцисс, сандаловое дерево, листья апельсина.","Женственный, утонченный, нежный.",Свежий цветочный.,/common/img/uploaded/productImageFolder/DGB452418LG.jpg
10,"Аромат LANVIN Me L’Absolu подобен изысканному ювелирному украшению, подчеркивающему красоту и элегантность своей обладательницы. Его композиция – гимн свободе и независимости. Обладательница LANVIN Me L’Eau никогда не сольется с толпой, ведь она уникальна и неординарна. Ее никогда не найти там, где вы ищете, ведь она непредсказуема и таинственна. Она ведет игру по своим правилам и умеет наслаждаться каждым мгновением этой игры.","Фиалка, пачули, жасмин, мандарин, мускус, османтус, персик, пион.","Легкий, женственный, изящный.",Яркий цветочный.,/common/img/uploaded/productImageFolder/LNV011A01LG.jpg
11,"Непреодолимое влечение, стремление к упоению. Неприступность и сдержанность черной смородины, бергамота, персика и иланг-иланга сменяется нежностью и откровенной женственностью жасмина, флердоранжа, маттиолы и абсолютной розы. И никого не оставят равнодушным благородные ноты кедра, сандала, белого мускуса, ванили и туберозы.",/common/img/products/JSE100117_b.jpg
12,"Изысканный и элегантный BEYONCE Rise создан очаровывать и покорять. В его многогранной композиции соблазнительная свежесть бергамота соседствует с теплой пряностью базилика, а нежные ноты орхидея, жасмина и фрезии гармонично дополняют сладость ноты абрикоса. Чувственный древесный аккорд и нота мускуса делают аромат более глубоким и запоминающимся. BEYONCE Rise идеально подойдет для романтических прогулок и незабываемых свиданий.","Орхидея, бергамот, базилик, древесный аккорд, жасмин, ветивер, мускус, абрикос, фрезия.","Соблазнительный, элегантный, женственный.",Классический цветочный.,/common/img/uploaded/productImageFolder/BYO440000LG.jpg
13,"Мечты должны становиться реальностью… Именно так считают создатели соблазнительного и элегантного аромата SERGIO TACCHINI Precious Purple for women. В его композиции гармонично сочетаются искрящиеся ноты бергамота и зеленого яблока, пряная нота имбиря, нежные ноты пиона, жасмина и кувшинки, чувственные ноты кедра, мускуса и амбры. Аромат привлекает своей таинственностью и очарованием, женственностью и едва уловимым намеком на чудо. Ведь вместе с SERGIO TACCHINI Precious Purple for women возможно все…","Зеленое яблоко, имбирь, бергамот, жасмин, амбра, мускус, кувшинка, кедр, пион.","Соблазнительный, женственный, интригующий.",Классический цветочный.,/common/img/uploaded/productImageFolder/MOR112011LG.jpg
14,"Изящная и нежная новая версия женского аромата VALENTINO Valentina – VALENTINO Valentina Acqua Floreale была создана в конце 2012 года и уже в начале 2013-го появилась в продаже. Композиция открывается легкими и свежими нотами бергамота и цветка апельсина. В сердце аромата – ноты нероли и мимозы, туберозы и жасмина. Шлейф аромата соткан из чувственных нот пачули и амбры.","Бергамот, нероли, пачули, жасмин, амбра, цветок апельсина, тубероза, мимоза.","Чувственный, нежный, изящный.",Цветочно-восточный.,/common/img/uploaded/productImageFolder/VRV056482LG.jpg
